Make,Model,Year,Color,Condition,Mileage,Transmission,Price
Toyota,Land Cruiser Prado,2007,2.7 i 16V,Black,Nigerian Used,Automatic,"6,615,000"
Nissan,Pathfinder,2005,Gray,Nigerian Used,168651,Automatic,"3,120,000"
Toyota,Highlander,2012,Silver,Foreign Used,229870,Automatic,"12,480,000"
Toyota,Corolla,2003,Red,Nigerian Used,294421,Automatic,"2,100,000"
Honda,Crosstour,2010,Black,Nigerian Used,113453,Automatic,"3,675,000"
Audi,A4,2011,White,Nigerian Used,99291,Automatic,"4,095,000"
Toyota,Camry,2002,Black,Nigerian Used,262478,Automatic,"3,120,000"
Lexus,RX 330,2006,Blue,Nigerian Used,138580,Automatic,"3,465,000"
Toyota,Sienna,2007,Gray,Nigerian Used,393372,Automatic,"3,536,000"
Kia,Optima,2007,Gray,Nigerian Used,375553,Automatic,"2,415,000"
Land Rover,Range Rover Vogue,2013,White,Nigerian Used,111173,Automatic,"7,350,000"
Toyota,Camry,2004,Blue,Nigerian Used,132774,Automatic,"2,100,000"
Ford,Edge,2007,Blue,Nigerian Used,249478,Automatic,"1,680,000"
Toyota,Corolla,2006,Gray,Nigerian Used,335502,Automatic,"3,150,000"
Toyota,RAV4,2010,Blue,Nigerian Used,157937,Automatic,"4,305,000"
Ford,Edge,2008,Blue,Nigerian Used,323374,Automatic,"3,328,000"
Lexus,ES,2007,White,Nigerian Used,151841,Automatic,"4,200,000"
Toyota,Corolla,2013,Silver,Foreign Used,72929,Automatic,"9,337,500"
Nissan,Titan,2007,Red,Nigerian Used,320968,Automatic,"3,990,000"
Toyota,Corolla,2004,Red,Nigerian Used,299999,Automatic,"2,310,000"
Lexus,IS,2008,Black,Nigerian Used,111124,Automatic,"10,125,000"
Toyota,Corolla,2009,Gray,Nigerian Used,326950,Manual,"2,688,400"
Infiniti,FX35,2008,Black,Foreign Used,211242,Automatic,"2,625,000"
Nissan,Sentra,2013,Matt Black,Nigerian Used,99530,Automatic,"2,625,000"
Toyota,Corolla,2010,Gray,Nigerian Used,196817,Automatic,"3,952,000"
Toyota,Corolla,2014,Silver,Foreign Used,178876,Automatic,"9,464,000"
Kia,Cerato,2013,Silver,Nigerian Used,174479,Automatic,"3,016,000"
Honda,CR-V,2009,Green,Nigerian Used,270316,Automatic,"2,835,000"
Toyota,Corolla,2009,Blue,Nigerian Used,173680,Automatic,"3,255,000"
BMW,X3,2007,Silver,Nigerian Used,351941,Automatic,"5,200,000"
Toyota,Highlander,2006,Green,Nigerian Used,235530,Automatic,"4,160,000"
Toyota,Corolla,2017,Blue,Nigerian Used,48573,Automatic,"7,500,000"
Toyota,Sienna,2004,Gold,Nigerian Used,279312,Automatic,"2,625,000"
Mercedes-Benz,GLK-Class,2009,Black,Nigerian Used,3500,Automatic,"7,650,000"
Lexus,RX 350,2011,Black,Foreign Used,71305,Automatic,"14,560,000"
Lexus,ES,2012,Black,Nigerian Used,71456,Automatic,"6,760,000"
Honda,Pilot,2005,Silver,Nigerian Used,175881,Automatic,"2,288,000"
Toyota,Camry,2010,Gray,Nigerian Used,86755,Automatic,"4,212,000"
Ford,Focus,2000,Silver,Nigerian Used,261747,Manual,"840,000"
Mercedes-Benz,E350,2010,Black,Nigerian Used,151480,Automatic,"5,250,000"
Volkswagen,Passat,2010,Gray,Nigerian Used,354291,Automatic,"4,680,000"
Kia,Rio,2014,Silver,Nigerian Used,104105,Manual,"2,100,000"
Nissan,Tiida,2008,Black,Nigerian Used,101477,Automatic,"1,365,000"
Land Rover,Range Rover,2007,White,Nigerian Used,4200,Automatic,"6,187,500"
Acura,ZDX,2010,Gray,Nigerian Used,222137,Automatic,"4,410,000"
Honda,Accord,2005,Red,Nigerian Used,358955,Automatic,"1,260,000"
Toyota,Sienna,1998,Green,Nigerian Used,478889,Automatic,"2,475,000"
Lexus,ES,2008,White,Nigerian Used,12352,Automatic,"4,680,000"
Toyota,Venza,2010,Gray,Foreign Used,93009,Automatic,"10,244,000"
Toyota,Highlander,2007,Limited V6 4x4,Black,Nigerian Used,Automatic,"4,680,000"
Toyota,Camry,2009,Base 4dr Sedan (2.4L 4cyl 5M),Black,Nigerian Used,Automatic,"3,360,000"
Toyota,RAV4,1997,Base 4x4,Blue,Nigerian Used,Automatic,"1,687,500"
Lexus,RX,2005,Gray,Nigerian Used,26738,Automatic,"3,465,000"
Mercedes-Benz,C200,2000,Blue,Nigerian Used,366871,Manual,"840,000"
Mercedes-Benz,M Class,2015,Black,Nigerian Used,144089,Automatic,"15,080,000"
Toyota,Corolla,2007,Black,Nigerian Used,291694,Automatic,"2,808,000"
Honda,Accord,2014,White,Nigerian Used,167529,Automatic,"6,240,000"
Honda,Civic,2006,Gray,Foreign Used,275564,Automatic,"3,375,000"
BMW,525i,2006,Blue,Nigerian Used,444535,Automatic,"2,730,000"
Hyundai,Santa Fe,2008,Gray,Nigerian Used,462989,Automatic,"4,160,000"
Honda,CR-V,2007,Black,Nigerian Used,190177,Automatic,"2,730,000"
Toyota,Corolla,2012,Gray,Nigerian Used,331170,Automatic,"3,479,700"
Toyota,Corolla,2003,Black,Nigerian Used,137051,Automatic,"2,100,000"
Toyota,4-Runner,2003,Black,Nigerian Used,439002,Automatic,"5,062,500"
Land Rover,Range Rover Vogue,2008,Black,Nigerian Used,174449,Automatic,"4,200,000"
Hyundai,Tucson,2014,Silver,Foreign Used,166578,Manual,"5,775,000"
Toyota,Camry,2002,Green,Nigerian Used,198254,Automatic,"3,120,000"
Toyota,Corolla,2018,Gray,Nigerian Used,151606,Automatic,"9,360,000"
Volkswagen,Passat,1999,Blue,Nigerian Used,298300,Manual,"1,470,000"
Audi,A4,2006,Black,Nigerian Used,237577,Automatic,"2,415,000"
Toyota,Highlander,2014,Green,Nigerian Used,111562,Automatic,"15,600,000"
BMW,X1,2015,Black,Foreign Used,97221,Automatic,"15,225,000"
Toyota,RAV4,2007,4x4,Silver,Foreign Used,Automatic,"6,968,000"
Volkswagen,Passat,2008,Black,Nigerian Used,225219,Automatic,"2,600,000"
Mercedes-Benz,C350,2010,Black,Nigerian Used,275288,Automatic,"3,675,000"
Toyota,Corolla,2011,Base 4dr Sedan (1.8L 4cyl 5M),Black,Nigerian Used,Automatic,"3,885,000"
Lexus,GX,2013,Black,Nigerian Used,149910,Automatic,"12,600,000"
Peugeot,407,2004,White,Nigerian Used,2900,Automatic,"1,365,000"
Toyota,Camry,2014,Black,Foreign Used,205638,Automatic,"6,405,000"
Honda,Accord,2008,2.4 LX,Silver,Nigerian Used,Automatic,"2,415,000"
Volkswagen,Golf GTI,2013,White,Nigerian Used,90629,Automatic,"2,625,000"
Mitsubishi,SpaceWagon,1999,Blue,Nigerian Used,267456,Automatic,"1,365,000"
Acura,TL,2014,4dr Sedan (3.5L 6cyl 6A),Black,Foreign Used,Automatic,"9,030,000"
Toyota,Camry,2012,L 4dr Sedan (2.5L 4cyl 6A),Silver,Nigerian Used,Automatic,"5,512,000"
Ford,Explorer,2013,Silver,Foreign Used,92179,Automatic,"5,407,500"
Toyota,Sienna,2003,Blue,Nigerian Used,324027,Automatic,"1,365,000"
Mercedes-Benz,GLS-Class,2018,Black,Foreign Used,199075,Automatic,"70,720,000"
Honda,Accord,2006,Red,Nigerian Used,345617,Automatic,"1,522,500"
Toyota,Camry,2010,Gray,Nigerian Used,185374,Automatic,"3,952,000"
Subaru,1800,2008,Blue,Nigerian Used,137715,Automatic,"2,100,000"
Lexus,RX 350,2008,Blue,Nigerian Used,168373,Automatic,"4,515,000"
Toyota,Corolla,2006,Gray,Nigerian Used,170179,Automatic,"2,310,000"
Toyota,Avensis,2004,Silver,Nigerian Used,341442,Automatic,"1,995,000"
Toyota,Sienna,2004,Blue,Nigerian Used,435439,Automatic,"4,680,000"
Honda,Accord,2004,Green,Nigerian Used,228012,Automatic,"1,312,500"
Hyundai,Creta,2016,Black,Nigerian Used,133972,Automatic,"4,410,000"
Nissan,Titan,2007,King Cab SE 4x4,Red,Foreign Used,Automatic,"6,300,000"
Ford,Ranger,2022,White,Brand New,1165,Manual,"19,950,000"
Toyota,Sienna,2004,Gray,Nigerian Used,314004,Automatic,"3,640,000"
Honda,Pilot,2009,Black,Nigerian Used,152850,Automatic,"3,255,000"
Jeep,Compass,2011,Gray,Nigerian Used,188564,CVT,"3,675,000"
Lexus,GX,2014,Black,Foreign Used,94128,Automatic,"33,750,000"
Honda,Pilot,2006,Black,Nigerian Used,150670,Automatic,"2,568,800"
Toyota,Camry,2002,Silver,Nigerian Used,307652,Automatic,"2,496,000"
Lexus,RX 300,2000,Black,Nigerian Used,418367,Automatic,"2,362,500"
Toyota,Corolla,2006,Gray,Nigerian Used,336791,Automatic,"2,205,000"
Toyota,Corolla,2009,Blue,Nigerian Used,143735,Automatic,"4,160,000"
Ford,Edge,2007,Gray,Nigerian Used,288805,Automatic,"2,625,000"
Toyota,4-Runner,2005,Black,Nigerian Used,92458,Automatic,"3,120,000"
Toyota,Corolla,2009,Silver,Nigerian Used,287833,Automatic,"2,682,750"
Honda,Civic,2007,1.8i VTEC,Blue,Nigerian Used,Automatic,"1,732,500"
Toyota,Venza,2015,Silver,Nigerian Used,142375,Automatic,"16,875,000"
Toyota,Corolla,2010,Gray,Nigerian Used,264432,Automatic,"2,756,250"
Toyota,Camry,2010,Blue,Nigerian Used,276151,Automatic,"4,160,000"
Honda,Pilot,2004,Black,Nigerian Used,291617,Automatic,"1,575,000"
Toyota,Land Cruiser Prado,2013,Blue,Nigerian Used,98031,Automatic,"16,065,000"
BMW,X5,2004,3.0i Sports Activity,Gray,Nigerian Used,Automatic,"1,470,000"
Toyota,Corolla,2006,LE,Black,Nigerian Used,Automatic,"2,912,000"
Toyota,Camry,1997,Red,Nigerian Used,3000,Automatic,"1,680,000"
Hyundai,Accent,2011,Gray,Nigerian Used,109809,Automatic,"2,572,500"
Toyota,Camry,2008,Gray,Nigerian Used,243732,Automatic,"3,150,000"
Lexus,RX 350,2007,Silver,Nigerian Used,108823,Automatic,"5,096,000"
Honda,Accord,2007,Blue,Nigerian Used,165842,Automatic,"1,554,000"
Ford,Edge,2010,Gray,Foreign Used,262027,Automatic,"4,725,000"
Peugeot,307,2006,Blue,Foreign Used,1400,Manual,"3,640,000"
Toyota,Tacoma,2002,Gold,Nigerian Used,131793,Automatic,"5,250,000"
Honda,Accord,2005,Gray,Nigerian Used,275117,Automatic,"1,260,000"
Pontiac,Torrent,2006,Base AWD,Gold,Nigerian Used,Automatic,"3,675,000"
Honda,Accord,2010,Black,Nigerian Used,306287,Automatic,"3,120,000"
Toyota,Yaris,2007,Blue,Nigerian Used,245666,Automatic,"2,704,000"
Changan,Alsvin,2022,Black,Nigerian Used,8557,Automatic,"8,190,000"
Mercedes-Benz,C230,2005,White,Foreign Used,283197,Automatic,"3,675,000"
Ford,Ranger,2012,White,Nigerian Used,107998,Manual,"3,601,500"
Toyota,Sienna,2006,Gold,Nigerian Used,105590,Automatic,"2,625,000"
Toyota,Corolla,2006,Silver,Nigerian Used,320559,Automatic,"1,995,000"
Hyundai,Elantra,2013,Silver,Nigerian Used,98692,Automatic,"4,888,000"
Toyota,Sienna,2006,Blue,Nigerian Used,235683,Automatic,"2,520,000"
Volkswagen,Golf,2005,Black,Nigerian Used,353277,Manual,"2,835,000"
Toyota,Solara,2006,Blue,Nigerian Used,178983,Automatic,"1,433,250"
Toyota,Sienna,2003,Blue,Nigerian Used,644328,Automatic,"1,543,500"
Mercedes-Benz,G-Class,2013,Black,Nigerian Used,29690,Automatic,"30,450,000"
Toyota,Camry,2012,Gray,Nigerian Used,182637,Automatic,"3,885,000"
Mazda,CX-9,2011,Red,Foreign Used,174172,Automatic,"7,592,000"
Mercedes-Benz,C-Class,1999,Gold,Nigerian Used,398305,Automatic,"1,575,000"
Toyota,Camry,2009,Red,Nigerian Used,317025,Automatic,"3,432,000"
Toyota,Corolla,2007,Black,Nigerian Used,155547,Automatic,"2,310,000"
Toyota,Camry,2011,Gray,Nigerian Used,292473,Automatic,"3,267,600"
Toyota,Tacoma,2009,Double Cab V6,Green,Foreign Used,Automatic,"11,440,000"
Kia,Cerato,2009,Black,Nigerian Used,222104,Automatic,"1,732,500"
Toyota,Venza,2009,White,Nigerian Used,142135,Automatic,"5,957,437"
Toyota,Sienna,2005,Beige,Nigerian Used,23152,Automatic,"2,352,000"
Peugeot,406,2002,Blue,Nigerian Used,249809,Manual,"1,800,000"
Honda,Accord,2006,Black,Nigerian Used,314857,Automatic,"1,976,000"
Honda,Accord Crosstour,2011,Gray,Nigerian Used,161836,Automatic,"3,659,250"
Toyota,Sienna,2012,Blue,Nigerian Used,199265,Automatic,"6,300,000"
Chevrolet,Camaro,2013,Black,Nigerian Used,178895,Automatic,"16,800,000"
Infiniti,QX56,2011,Silver,Nigerian Used,145875,Automatic,"12,075,000"
Lexus,ES,2008,Gray,Nigerian Used,328010,Automatic,"4,095,000"
Lexus,ES,2007,Gray,Nigerian Used,214129,Automatic,"3,465,000"
Honda,CR-V,2007,Blue,Nigerian Used,389898,Automatic,"3,640,000"
Lexus,RX,1999,Black,Nigerian Used,274583,Automatic,"2,100,000"
Toyota,Corolla,2004,Gray,Nigerian Used,183723,Automatic,"3,328,000"
Porsche,Cayenne,2013,Black,Nigerian Used,48262,Automatic,"17,850,000"
Lexus,RX,2011,350,White,Foreign Used,Automatic,"10,815,000"
Toyota,Camry,2003,Black,Nigerian Used,239898,Automatic,"2,100,000"
Honda,Accord,2007,Red,Nigerian Used,205817,Automatic,"2,600,000"
Toyota,Highlander,2002,V6 AWD,Blue,Nigerian Used,Automatic,"2,205,000"
Honda,Civic,2005,Gold,Nigerian Used,87210,Automatic,"1,508,000"
Peugeot,406,2004,Gray,Nigerian Used,1800,Manual,"2,080,000"
Hyundai,Elantra,2012,Black,Foreign Used,156250,Automatic,"6,187,500"
Honda,Crosstour,2010,Black,Nigerian Used,156234,Automatic,"2,940,000"
Toyota,Camry,2004,Blue,Nigerian Used,333652,Automatic,"2,600,000"
Toyota,Camry,2010,Gray,Nigerian Used,85736,Automatic,"4,264,000"
Toyota,Tacoma,2006,Silver,Nigerian Used,231341,Automatic,"5,512,000"
Citroen,C4,2004,Silver,Nigerian Used,238617,Automatic,"1,365,000"
Toyota,Sienna,2006,Gold,Nigerian Used,434866,Automatic,"3,328,000"
Toyota,Camry,2000,Gray,Nigerian Used,64019,Automatic,"1,050,000"
Toyota,Camry,2005,Green,Nigerian Used,257685,Automatic,"1,890,000"
Toyota,Camry,2012,Gold,Nigerian Used,116513,Automatic,"6,240,000"
Toyota,Corolla,2005,Silver,Nigerian Used,385367,Automatic,"3,016,000"
Acura,MDX,2003,Silver,Nigerian Used,146051,Automatic,"1,417,500"
Peugeot,408,2011,Black,Nigerian Used,384532,Automatic,"2,520,000"
Toyota,Camry,2005,Green,Nigerian Used,132278,Automatic,"1,995,000"
Toyota,Corolla,2003,White,Foreign Used,299999,Automatic,"2,940,000"
Toyota,Avalon,2006,Silver,Nigerian Used,185785,Automatic,"3,640,000"
Nissan,Almera,2005,Blue,Nigerian Used,333102,Manual,"1,134,000"
Mercedes-Benz,M Class,2015,White,Nigerian Used,252679,Automatic,"12,048,750"
Toyota,Sienna,2006,Black,Nigerian Used,313982,Automatic,"3,848,000"
Toyota,Camry,2013,White,Nigerian Used,80320,Automatic,"5,928,000"
Mazda,626,2000,Green,Nigerian Used,193345,Manual,"945,000"
Toyota,Corolla,2009,Black,Nigerian Used,362505,Automatic,"4,420,000"
Toyota,Tundra,2008,White,Nigerian Used,124166,Automatic,"6,300,000"
Toyota,Camry,2008,2.4,Gray,Nigerian Used,Automatic,"2,520,000"
Toyota,Sienna,2012,Silver,Nigerian Used,168976,Automatic,"16,875,000"
Toyota,Hilux,2013,SR 4x4,White,Nigerian Used,Automatic,"9,922,500"
Honda,Odyssey,2006,EX,Silver,Nigerian Used,Automatic,"2,310,000"
Toyota,Camry,2005,Blue,Nigerian Used,251731,Automatic,"1,575,000"
Honda,Accord,2008,Silver,Nigerian Used,171591,Automatic,"2,100,000"
Toyota,Camry,2003,Blue,Nigerian Used,322948,Automatic,"2,250,000"
BMW,550i,2012,White,Nigerian Used,140284,Automatic,"15,015,000"
Toyota,Camry,2009,Black,Nigerian Used,158475,Automatic,"3,150,000"
Toyota,Harrier,2004,Black,Nigerian Used,138185,Automatic,"5,250,000"
Hyundai,Elantra,2009,Gray,Nigerian Used,201919,Automatic,"2,392,000"
Toyota,Camry,2014,Silver,Foreign Used,176288,Automatic,"7,035,000"
Honda,Accord,2007,Black,Nigerian Used,143827,Automatic,"2,080,000"
Toyota,Sienna,1999,Gray,Nigerian Used,591949,Automatic,"1,155,000"
Kia,Rio,2008,1.6,Black,Nigerian Used,Manual,"840,000"
Mitsubishi,L200,2016,White,Nigerian Used,88845,Manual,"7,875,000"
Hyundai,Sonata,2010,Black,Nigerian Used,107232,Automatic,"1,942,500"
Toyota,Camry,2004,LE 4dr Sedan (2.4L 4cyl 4A),Gold,Nigerian Used,Automatic,"2,288,000"
Acura,RDX,2007,Silver,Nigerian Used,141107,Automatic,"3,120,000"
Toyota,Tundra,2012,Red,Nigerian Used,123525,Automatic,"10,500,000"
Nissan,Xterra,2006,SE 4x4,Silver,Nigerian Used,Automatic,"1,554,000"
Toyota,Venza,2014,Red,Foreign Used,178064,Automatic,"12,002,025"
Ford,Edge,2007,Red,Nigerian Used,253952,Automatic,"4,992,000"
Volkswagen,Passat,2014,Brown,Nigerian Used,46909,Automatic,"2,940,000"
Hyundai,Sonata,2015,Orange,Foreign Used,81221,Automatic,"9,360,000"
Toyota,Avensis,2004,Green,Nigerian Used,213018,Automatic,"1,653,750"
Acura,TL,2005,Gray,Foreign Used,296158,Automatic,"3,675,000"
Toyota,Camry,2004,White,Nigerian Used,309213,Automatic,"2,300,000"
Toyota,Camry,2007,Gold,Nigerian Used,168212,Automatic,"3,350,000"
Nissan,Altima,2009,Red,Nigerian Used,218624,CVT,"1,155,000"
Lexus,GX,2005,470 Sport Utility,Gold,Nigerian Used,Automatic,"3,885,000"
Lexus,RX,2005,Beige,Nigerian Used,274786,Automatic,"3,780,000"
Peugeot,408,2013,Silver,Nigerian Used,809152,Automatic,"1,837,500"
Nissan,Xterra,2006,Brown,Nigerian Used,324129,Automatic,"1,470,000"
Acura,TL,2009,Automatic SH-AWD,Red,Nigerian Used,Automatic,"2,625,000"
Ford,Edge,2010,Silver,Nigerian Used,170371,Automatic,"3,536,000"
Honda,Accord,2005,Silver,Nigerian Used,263012,Automatic,"2,600,000"
Toyota,Camry,2007,Beige,Foreign Used,187138,Automatic,"5,200,000"
Volkswagen,Passat,2008,Blue,Nigerian Used,111749,Automatic,"1,554,000"
Honda,Civic,2002,Blue,Nigerian Used,294264,Automatic,"1,560,000"
Ford,Explorer,2018,Black,Nigerian Used,105508,Automatic,"21,000,000"
Peugeot,607,2009,Gray,Nigerian Used,2200,Manual,"2,520,000"
Honda,Accord,2003,Gold,Nigerian Used,243576,Automatic,"1,365,000"
Toyota,Highlander,2003,Gray,Nigerian Used,252784,Automatic,"2,835,000"
Toyota,Yaris,2003,Blue,Foreign Used,113043,Manual,"2,205,000"
Toyota,Camry,2008,Silver,Nigerian Used,210362,Automatic,"3,640,000"
Toyota,Camry,2005,Gray,Nigerian Used,334505,Automatic,"2,450,000"
Kia,Sportage,2009,Gray,Nigerian Used,214523,Automatic,"1,680,000"
Toyota,Camry,2008,Gray,Nigerian Used,216692,Automatic,"4,680,000"
Lexus,ES,2004,Green,Nigerian Used,160809,Automatic,"2,453,850"
Toyota,Corolla,2004,Blue,Nigerian Used,231167,Automatic,"2,310,000"
Lexus,ES,2005,Brown,Nigerian Used,193570,Automatic,"3,120,000"
Mercedes-Benz,GL-Class,2013,Black,Nigerian Used,174675,Automatic,"13,520,000"
Nissan,Xterra,2008,Black,Nigerian Used,133331,Automatic,"1,155,000"
Lexus,RX 350,2009,White,Nigerian Used,248245,Automatic,"3,675,000"
Toyota,Avensis,2000,Silver,Nigerian Used,335163,Automatic,"2,100,000"
Kia,Cerato,2009,White,Nigerian Used,156541,Manual,"1,470,000"
Honda,Pilot,2006,Gray,Nigerian Used,123528,Automatic,"1,732,500"
Toyota,Corolla,2012,Red,Nigerian Used,54815,Automatic,"4,004,000"
Mercedes-Benz,C300,2010,Black,Nigerian Used,208221,Automatic,"3,885,000"
Lexus,RX 330,2004,Blue,Nigerian Used,276651,Automatic,"4,095,000"
Honda,Accord,2009,Silver,Foreign Used,156041,Automatic,"4,680,000"
Acura,MDX,2005,Silver,Nigerian Used,394907,Automatic,"3,640,000"
Honda,Accord,2008,White,Nigerian Used,195255,Automatic,"2,310,000"
Ford,Ranger,2014,Black,Nigerian Used,2500,Manual,"4,830,000"
Mercedes-Benz,C230,2006,Black,Nigerian Used,307226,Automatic,"2,912,000"
Toyota,RAV4,2008,Gold,Nigerian Used,316338,Automatic,"3,675,000"
Toyota,Camry,2011,Gold,Nigerian Used,300887,Automatic,"4,160,000"
Land Rover,Lr3,2006,Silver,Nigerian Used,177992,Automatic,"3,952,000"
Toyota,Sienna,2004,Silver,Nigerian Used,235435,Automatic,"2,625,000"
BMW,328i,2004,Gray,Nigerian Used,401462,Automatic,"1,785,000"
Acura,MDX,2007,SUV 4dr AWD (3.7 6cyl 5A),Gray,Nigerian Used,Automatic,"3,108,000"
Toyota,Camry,2015,Blue,Nigerian Used,117137,Automatic,"6,426,000"
Honda,Pilot,2010,Black,Nigerian Used,159707,Automatic,"2,992,500"
Volkswagen,Jetta,2013,Black,Nigerian Used,69719,Automatic,"2,310,000"
Toyota,Corolla,2010,Black,Foreign Used,117452,Automatic,"5,720,000"
Toyota,Corolla,2006,Silver,Nigerian Used,49926,Automatic,"2,310,000"
Volkswagen,Golf,1999,Blue,Nigerian Used,1600,Automatic,"2,625,000"
Honda,Accord,2007,Gray,Nigerian Used,120647,Automatic,"2,392,000"
Toyota,Corolla,2006,Black,Nigerian Used,220870,Automatic,"2,415,000"
Honda,Accord,2009,Gray,Nigerian Used,68509,Automatic,"2,912,000"
Mercedes-Benz,SLK-Class,2006,Silver,Nigerian Used,79614,Automatic,"4,725,000"
Toyota,Avensis,2005,Blue,Nigerian Used,329484,Automatic,"3,536,000"
Honda,Pilot,2009,EX-L 4dr SUV 4WD (3.5L 6cyl 5A),Gray,Nigerian Used,Automatic,"4,264,000"
Toyota,Camry,2003,Ivory,Nigerian Used,212412,Automatic,"2,496,000"
Hyundai,Sonata,2013,Red,Foreign Used,174858,Automatic,"3,675,000"
Acura,MDX,2008,Silver,Nigerian Used,85495,Automatic,"2,572,500"
Land Rover,Range Rover,2013,Beige,Nigerian Used,80173,Automatic,"23,100,000"
Lexus,RX 350,2009,Black,Foreign Used,122298,Automatic,"7,791,000"
Toyota,Camry,2004,Blue,Nigerian Used,550775,Automatic,"2,300,000"
Toyota,4-Runner,2003,Blue,Nigerian Used,320382,Automatic,"2,310,000"
Hyundai,Accent,2016,Black,Nigerian Used,76315,Manual,"1,680,000"
Toyota,Venza,2011,Silver,Nigerian Used,169000,Automatic,"7,800,000"
Toyota,Camry,2002,Silver,Nigerian Used,276142,Automatic,"1,768,000"
Toyota,Corolla,2015,Green,Nigerian Used,135668,Automatic,"5,250,000"
Toyota,Corolla,2005,Black,Nigerian Used,176291,Automatic,"2,625,000"
Lexus,ES,2002,White,Nigerian Used,123585,Automatic,"2,205,000"
Toyota,Corolla,2011,Blue,Foreign Used,276014,Automatic,"4,200,000"
Mercedes-Benz,GL-Class,2007,Silver,Nigerian Used,326140,Automatic,"3,990,000"
Toyota,Tacoma,2004,White,Nigerian Used,235351,Automatic,"2,415,000"
BMW,X1,2013,Blue,Foreign Used,171248,Automatic,"8,925,000"
Mercedes-Benz,S-Class,2005,Silver,Nigerian Used,92971,Automatic,"7,875,000"
Dodge,Charger,2007,Black,Nigerian Used,302238,Automatic,"2,835,000"
Honda,CR-V,2011,Black,Nigerian Used,117315,Automatic,"4,935,000"
Toyota,Matrix,2006,Blue,Nigerian Used,194377,Automatic,"2,226,000"
BMW,X4,2019,White,Foreign Used,45134,Automatic,"75,600,000"
Ford,Ecosport,2014,Black,Nigerian Used,46349,Automatic,"3,097,500"
Land Rover,Lr4,2013,Black,Nigerian Used,12053,Automatic,"13,335,000"
Kia,Sorento,2007,Black,Nigerian Used,170327,Automatic,"2,100,000"
Toyota,Camry,2002,Black,Nigerian Used,233068,Automatic,"2,184,000"
Toyota,Highlander,2003,Silver,Nigerian Used,256661,Automatic,"3,328,000"
Mercedes-Benz,B-Class,2008,Silver,Foreign Used,99999,Automatic,"3,150,000"
Honda,Accord Crosstour,2010,Silver,Nigerian Used,213435,Automatic,"4,160,000"
BMW,X5,2013,Black,Nigerian Used,23378,Automatic,"26,250,000"
Toyota,Camry,2006,Gray,Nigerian Used,386032,Automatic,"2,860,000"
Kia,Rio,2014,EX 4dr Sedan (1.6L 4cyl 6A),Silver,Nigerian Used,Manual,"3,150,000"
Toyota,Camry,2005,Silver,Nigerian Used,244199,Automatic,"3,016,000"
Lexus,RX,1999,Silver,Nigerian Used,455800,Automatic,"1,708,350"
Audi,A4,2007,White,Nigerian Used,160806,Automatic,"1,680,000"
Honda,Accord,2008,Black,Nigerian Used,242377,Automatic,"2,415,000"
Lexus,ES,2007,Black,Nigerian Used,101740,Automatic,"6,947,200"
Hyundai,Elantra,2009,1.6 Automatic,Black,Nigerian Used,Automatic,"1,953,000"
Lexus,GX,2020,460 Luxury,Black,Nigerian Used,Automatic,"42,000,000"
Lexus,RX 330,2006,Silver,Nigerian Used,438924,Automatic,"4,305,000"
Toyota,Corolla,2006,Blue,Nigerian Used,450169,Automatic,"1,890,000"
Toyota,Camry,2007,Gold,Nigerian Used,460008,Automatic,"2,625,000"
Peugeot,407,2002,Gray,Nigerian Used,2200,Automatic,"1,575,000"
Honda,Accord,2012,Black,Nigerian Used,88447,Automatic,"2,730,000"
Toyota,Camry,2005,Red,Nigerian Used,215357,Automatic,"2,496,000"
Nissan,Titan,2005,Black,Nigerian Used,181427,Automatic,"2,625,000"
Honda,CR-V,2016,Silver,Nigerian Used,97684,Automatic,"12,075,000"
Mercedes-Benz,M Class,2002,Gold,Nigerian Used,210034,Automatic,"2,600,000"
Toyota,Camry,2007,Gray,Nigerian Used,175234,Automatic,"3,640,000"
Mercedes-Benz,GLK-Class,2011,Gray,Nigerian Used,215527,Automatic,"10,125,000"
Toyota,RAV4,2007,Ivory,Nigerian Used,260809,Automatic,"3,412,500"
Honda,Pilot,2003,Black,Nigerian Used,439969,Automatic,"1,470,000"
Toyota,Camry,2005,2.4 WT-i,Silver,Nigerian Used,Automatic,"3,328,000"
Mercedes-Benz,C300,2008,Black,Nigerian Used,198402,Automatic,"4,992,000"
Toyota,Highlander,2008,Silver,Foreign Used,220857,Automatic,"7,665,000"
Toyota,Camry,2001,Black,Nigerian Used,248269,Automatic,"1,260,000"
Mercedes-Benz,C240,2005,Blue,Nigerian Used,551242,Automatic,"1,575,000"
Toyota,Matrix,2007,Gray,Nigerian Used,288759,Automatic,"1,680,000"
Toyota,RAV4,2016,Black,Nigerian Used,107189,Automatic,"12,480,000"
Toyota,Highlander,2004,Black,Nigerian Used,244494,Automatic,"2,625,000"
Honda,Accord,2010,Black,Nigerian Used,123451,Automatic,"2,100,000"
Honda,Accord,2007,Blue,Nigerian Used,154472,Automatic,"1,680,000"
Ford,Escape,2008,Black,Nigerian Used,260154,Automatic,"3,120,000"
Toyota,Sienna,2006,Gray,Nigerian Used,544175,Automatic,"2,709,000"
Lexus,RX 350,2011,Blue,Foreign Used,190089,Automatic,"11,550,000"
Honda,Accord,2000,Green,Nigerian Used,20000,Automatic,"892,500"
