Make,Model,Year,Color,Condition,Mileage,Transmission,Price
Mazda,CX-7,2008,Silver,Nigerian Used,173963,Automatic,"2,520,000"
Toyota,Avalon,2008,Gray,Nigerian Used,205659,Automatic,"2,677,500"
Toyota,Corolla,2003,Sedan Automatic,Blue,Nigerian Used,Automatic,"1,912,500"
Lifan,520,2006,Silver,Nigerian Used,22140,Manual,"2,812,500"
Peugeot,307,2008,Silver,Nigerian Used,399999,Manual,"1,362,656"
Toyota,Corolla,2005,Gray,Nigerian Used,304561,Automatic,"2,587,500"
Toyota,Sienna,2008,Silver,Foreign Used,491052,Automatic,"6,750,000"
Toyota,Camry,2007,XLE V6 4dr Sedan (3.5L 6cyl 6AM),Gray,Nigerian Used,Automatic,"3,127,500"
Honda,Pilot,2010,Silver,Nigerian Used,206114,Automatic,"3,555,000"
Toyota,Corolla,2017,Silver,Nigerian Used,95643,Automatic,"7,166,250"
Mercedes-Benz,GLK-Class,2011,350 4MATIC,Black,Nigerian Used,Automatic,"6,187,500"
Toyota,Camry,2000,Red,Nigerian Used,370632,Automatic,"1,462,500"
Honda,Odyssey,2000,Gray,Nigerian Used,196107,Automatic,"1,192,500"
Honda,Pilot,2008,Black,Nigerian Used,295423,Automatic,"2,193,750"
Lexus,ES,2010,Gray,Nigerian Used,172938,Automatic,"5,625,000"
Lexus,ES,2008,Gold,Nigerian Used,277487,Automatic,"4,725,000"
Honda,CR-V,2006,Silver,Nigerian Used,188837,Automatic,"2,250,000"
Ford,Edge,2012,Silver,Nigerian Used,328818,Automatic,"4,303,125"
Toyota,Sienna,2011,Black,Foreign Used,132149,Automatic,"8,606,250"
Honda,Accord,2013,Silver,Foreign Used,73429,Automatic,"7,987,500"
Honda,Accord,2006,Gray,Nigerian Used,233873,Automatic,"1,575,000"
Toyota,4-Runner,2014,Black,Nigerian Used,79139,Automatic,"24,750,000"
Toyota,Venza,2010,Blue,Nigerian Used,119383,Automatic,"6,311,250"
Honda,Accord,2003,2.4,Gray,Nigerian Used,Automatic,"1,140,750"
Toyota,Camry,2016,Black,Nigerian Used,92686,Automatic,"8,100,000"
Acura,MDX,2007,Gray,Nigerian Used,146717,Automatic,"3,341,250"
Nissan,Altima,2005,Gold,Nigerian Used,162932,Automatic,"1,575,000"
Volkswagen,Passat,2007,Gray,Nigerian Used,440838,Automatic,"1,575,000"
Toyota,Camry,2005,Silver,Nigerian Used,157557,Automatic,"1,964,812"
Toyota,Tacoma,2005,Black,Foreign Used,123383,Automatic,"7,875,000"
Honda,Crosstour,2010,White,Nigerian Used,168658,Automatic,"4,500,000"
Toyota,Camry,1999,Gold,Nigerian Used,431456,Automatic,"1,350,000"
Honda,Accord,2005,Black,Nigerian Used,3000,Automatic,"1,181,250"
Toyota,Camry,2008,Silver,Nigerian Used,95259,Automatic,"6,750,000"
Toyota,Camry,2003,Silver,Nigerian Used,239676,Automatic,"1,771,875"
Toyota,Camry,2007,LE V6 4dr Sedan (3.5L 6cyl 6AM),Gray,Nigerian Used,Automatic,"2,250,000"
Volkswagen,Sharan,1999,Red,Nigerian Used,250062,Manual,"1,462,500"
Toyota,Corolla,2005,Gold,Nigerian Used,424508,Automatic,"5,062,500"
Honda,Accord,2007,Gray,Nigerian Used,179980,Automatic,"1,766,250"
Nissan,Almera,2005,Gray,Nigerian Used,383156,Manual,"1,575,000"
Acura,MDX,2005,Black,Nigerian Used,244107,Automatic,"1,653,750"
Toyota,Camry,2005,Gray,Nigerian Used,278011,Automatic,"2,812,500"
Nissan,Xterra,2003,Black,Nigerian Used,300788,Automatic,"1,260,000"
Toyota,Camry,2007,Gold,Nigerian Used,205358,Automatic,"3,060,000"
Honda,Accord,2006,Red,Nigerian Used,81577,Automatic,"1,462,500"
Toyota,Highlander,2002,Black,Nigerian Used,174523,Automatic,"2,587,500"
Honda,Pilot,2013,Burgandy,Nigerian Used,118595,Automatic,"4,455,000"
Toyota,Yaris,2008,Red,Nigerian Used,98438,Automatic,"2,137,500"
Toyota,Land Cruiser Prado,2008,3.4 5dr,Black,Nigerian Used,Automatic,"6,525,000"
Ford,Escape,2014,Red,Nigerian Used,80664,Automatic,"3,465,000"
Toyota,Camry,2009,Black,Nigerian Used,206962,Automatic,"4,275,000"
Acura,MDX,2007,Gray,Nigerian Used,227620,Automatic,"2,677,500"
Mercedes-Benz,C300,2012,Teal,Nigerian Used,270259,Automatic,"5,259,375"
Honda,Pilot,2003,EX-L 4x4 (3.5L 6cyl 5A),Black,Nigerian Used,Automatic,"1,936,125"
Honda,Accord,2008,Blue,Nigerian Used,99777,Automatic,"2,250,000"
Nissan,Quest,2012,Silver,Nigerian Used,336933,Automatic,"5,062,500"
Toyota,Camry,2009,White,Nigerian Used,149851,Automatic,"3,487,500"
Toyota,Camry,2009,Gray,Foreign Used,185893,Automatic,"4,972,500"
Lexus,LS,2008,Silver,Nigerian Used,146658,Automatic,"4,162,500"
Toyota,Corolla,2003,Break,Gray,Nigerian Used,Automatic,"2,587,500"
Mercedes-Benz,M Class,2003,Silver,Nigerian Used,182646,Automatic,"1,462,500"
Ford,Kuga,2017,Black,Nigerian Used,89422,Automatic,"9,000,000"
Honda,Accord,2003,Gray,Nigerian Used,416654,Automatic,"2,250,000"
Toyota,Corolla,2013,Gray,Foreign Used,108861,Automatic,"7,875,000"
Honda,Accord,2007,Silver,Nigerian Used,307527,Automatic,"2,250,000"
Toyota,Camry,2007,Black,Nigerian Used,254932,Automatic,"2,677,500"
Toyota,Sienna,2007,Red,Nigerian Used,288524,Automatic,"3,155,625"
Mercedes-Benz,C230,2006,Silver,Foreign Used,390884,Automatic,"3,150,000"
Toyota,Avensis Verso,2003,Silver,Nigerian Used,167364,Automatic,"3,375,000"
Honda,CR-V,1997,Black,Nigerian Used,175260,Automatic,"1,125,000"
Mercedes-Benz,B-Class,2007,Gray,Nigerian Used,270130,Automatic,"2,812,500"
Nissan,Armada,2010,Black,Nigerian Used,90782,Automatic,"5,175,000"
Toyota,Camry,2006,Blue,Nigerian Used,359504,Automatic,"2,008,125"
Toyota,Solara,2000,3.0 Coupe,Silver,Nigerian Used,Automatic,"956,250"
Toyota,Corolla,2011,Blue,Foreign Used,256553,Automatic,"7,312,500"
Lexus,RX 330,2006,Silver,Foreign Used,160246,Automatic,"6,750,000"
Toyota,Camry,2009,Gray,Nigerian Used,150294,Automatic,"3,346,875"
Toyota,Camry,2007,LE 4dr Sedan (2.4L 4cyl 5A),Gray,Nigerian Used,Automatic,"2,638,125"
